dd_ap50,imgsz,map,map50,seed,ap50_c0,ap50_c1,ap50_c2,ap50_c3,ap50_c4,ap50_c5,ap50_c6
0.549,512,0.4042266085073502,0.6801429566077161,0,0.9312551450051451,0.5453876164239801,0.549,0.4897418368682514,0.7365352881260361,0.8277496317118485,0.6813311781187512
0.5400909090909092,640,0.4534964430002185,0.7223305481439655,0,0.9647285067873304,0.6609432958828458,0.5400909090909092,0.5423964744659788,0.7764671718024707,0.8633462395061342,0.7083412394720887
0.506,768,0.4796745177410199,0.7356152621851012,0,0.8994859760122919,0.7001012816335397,0.506,0.5859890700292452,0.8018718947004817,0.8514197586599753,0.8044388542601741
0.5587500000000001,896,0.5054073170756576,0.7657822283160302,0,0.971065934065934,0.7007275705210493,0.5587500000000001,0.6051442467228907,0.8286397245767212,0.8442058791242965,0.8519422432013195
0.4707316017316017,1024,0.5010668388162096,0.7441750837413894,0,0.9825199485199485,0.6578659722154492,0.4707316017316017,0.618081529699948,0.8166908357654916,0.8441912953572526,0.8191444029000339
0.5416153846153846,1280,0.5298654726626714,0.7731626973370738,0,0.9786622868487542,0.7271501833781773,0.5416153846153846,0.6718265046677574,0.8003407188207907,0.8431661599724668,0.8493776430561858
0.6008057090239409,512,0.40017593498766896,0.655667357353202,1,0.8596788186851387,0.4787169970636481,0.6008057090239409,0.4340287101487995,0.689240387863084,0.8177987739735462,0.709402104714256
0.6308131058400823,640,0.4628444387511674,0.7258788892161263,1,0.9711176926054973,0.6306735856735856,0.6308131058400823,0.5181281007393413,0.7420542856651873,0.8154343530914233,0.7729311008977668
0.6523679653679654,768,0.49734308809934635,0.7639243737714078,1,0.9675590062111799,0.6791377455433929,0.6523679653679654,0.5750447764567527,0.8074034404394466,0.8370897524476191,0.828867929933497
0.624702687249857,896,0.5232819502884688,0.7806718764181586,1,0.9777883286611126,0.7077147848014721,0.624702687249857,0.58889572682404,0.8084401290964014,0.8519966339231497,0.9051648443710778
0.7340656565656565,1024,0.5378478019466743,0.7956002805439492,1,0.9872245322245323,0.6889427676566261,0.7340656565656565,0.6270360298593245,0.8182467202756105,0.8267427494786213,0.8869435077472733
0.6854306722689075,1280,0.5307063798500319,0.7794101971912978,1,0.9855037871841467,0.668767507002801,0.6854306722689075,0.6367218595296549,0.7992059961545517,0.8165210115098254,0.8637205466891973
0.49902852049910884,512,0.4163058578766064,0.6874954767973568,2,0.9151236780297501,0.5918208986692687,0.49902852049910884,0.5323903951296416,0.7035702030273361,0.8085565851049636,0.7619780571214287
0.44549108518600045,640,0.44823646243850357,0.7021961765720872,2,0.9634006273861342,0.6806170232001512,0.44549108518600045,0.5266279885984956,0.7307885414221442,0.8289106642983812,0.7395373059133039
0.6211538461538462,768,0.4916114170662698,0.7615479089219669,2,0.9903191489361702,0.6930013533888755,0.6211538461538462,0.5822380245242178,0.8042041661557915,0.8225213492611585,0.8173974740337082
0.6141904761904762,896,0.5162003632337377,0.781391209898814,2,0.9894395604395605,0.6955266648847211,0.6141904761904762,0.6144734811738957,0.8253577086119641,0.8373819125458257,0.8933686654452553
0.697,1024,0.5430670444820588,0.8088291955474827,2,0.9810908413297746,0.7535397146388048,0.697,0.6728238292817336,0.8500501179109426,0.8213979697225273,0.8859018959485956
0.6395833333333334,1280,0.5500838836989382,0.7959941543690884,2,0.9870552996551637,0.6976249842637762,0.6395833333333334,0.6615253088846393,0.8384912378709994,0.8469727534050836,0.9007061631706231
